client_id,total_spending,avg_transaction,transaction_count,Chip Transaction,Online Transaction,Swipe Transaction,past_3_months_sum,past_6_months_sum,past_9_months_sum,past_3_months_avg,past_6_months_avg,past_9_months_avg,past_3_months_max,past_3_months_min,past_6_months_max,past_6_months_min,past_9_months_max,past_9_months_min,rate_of_change_3m,rate_of_change_6m,rate_of_change_9m,spending_volatility_3m,spending_volatility_6m,spending_volatility_9m,num_unique_merchants,category_diversity,top_5_merchant_categories,avg_time_between_transactions_seconds,spending_consistency_3m,spending_consistency_6m,spending_consistency_9m,chip_transaction_ratio,online_transaction_ratio,swipe_transaction_ratio,absolute_change_3m_vs_6m,absolute_change_6m_vs_9m,growth_rate_3m_vs_6m,growth_rate_6m_vs_9m,proportion_recent_3m_vs_6m,proportion_recent_6m_vs_9m,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,debt_to_income_ratio
0,50852.09,47.703649155722324,1066,958,89,19,15724.66,28900.12,43981.0,5241.553333333333,4816.6866666666665,4886.777777777777,5952.93,3985.09,5952.93,3985.09,5952.93,3985.09,2.9458732425114613,6.25206206133362,10.036388136779847,1091.3011371905257,852.1783441197435,699.2480827785262,134,51,"['Drinking Places (Alcoholic Beverages)', 'Utilities - Electric, Gas, Water, Sanitary', 'Automotive Service Shops', 'Department Stores', 'Money Transfer']",24624.394366197183,0.30922347537731487,0.5683172510707033,0.8648808731361878,0.8986866791744841,0.08348968105065666,0.017823639774859287,2549.2000000000007,13819.239999999998,0.19348091072342077,0.9163417519402048,0.5441036230991428,0.6571046588299493,33,69,1986,3,Male,858 Plum Avenue,43.59,-70.33,29237.0,59613.0,36199.0,763,4,0.6072333215909281
1,29110.22,35.89422934648582,811,0,327,484,9740.26,17605.510000000002,25469.33,3246.7533333333336,2934.251666666667,2829.9255555555555,4931.47,2332.39,4931.47,2332.39,4931.47,2171.76,3.1760854745561424,6.548270229249827,9.919841878931056,1460.7831479153,991.1330327542648,826.6919966364607,77,43,"['Taxicabs and Limousines', 'Telecommunication Services', 'Money Transfer', 'Eating Places and Restaurants', 'Service Stations']",32340.59259259259,0.3345993262847206,0.6047879404552766,0.8749274309847195,0.0,0.4032059186189889,0.5967940813810111,1875.0099999999984,9741.690000000002,0.23839165951495467,1.2387987008858294,0.5532506584586302,0.6912435466500297,43,74,1976,4,Female,113 Burns Lane,30.44,-87.18,22247.0,45360.0,14587.0,704,3,0.32158289241622573
2,23980.38,26.32313940724479,911,619,46,246,6012.45,13772.349999999999,21202.54,2004.1499999999999,2295.3916666666664,2355.837777777778,2208.5099999999998,1742.79,3061.54,1742.79,3061.54,1742.79,1.9170366057783275,5.681876622273973,9.286752541057176,238.03472351738677,438.52869180552676,392.603133863504,66,35,"['Grocery Stores, Supermarkets', 'Drug Stores and Pharmacies', 'Wholesale Clubs', 'Department Stores', 'Insurance Sales, Underwriting']",28689.824175824175,0.25072371663835186,0.5743174211584636,0.8841619690763867,0.6794731064763996,0.050493962678375415,0.270032930845225,-1747.449999999999,6342.159999999996,-0.22518975759996895,0.8535663287210682,0.4365594833125792,0.6495613261429998,48,64,1971,8,Male,6035 Forest Avenue,40.84,-73.87,13461.0,27447.0,80850.0,673,5,2.9456771231828616
3,24596.65,48.80287698412699,504,212,55,237,7754.99,14467.279999999999,22008.760000000002,2584.9966666666664,2411.213333333333,2445.417777777778,2800.02,2303.68,2800.02,2056.63,2833.92,2056.63,2.3663486248090013,5.280073621336297,8.553740102792055,254.72426942349514,269.69157077422085,282.85656907599736,68,37,"['Grocery Stores, Supermarkets', 'Wholesale Clubs', 'Drug Stores and Pharmacies', 'Department Stores', 'Service Stations']",52048.15109343937,0.31528643128230877,0.5881809108150906,0.8947868917108631,0.42063492063492064,0.10912698412698413,0.47023809523809523,1042.7000000000007,6925.799999999996,0.15534191758699345,0.9183608522465077,0.536036490618831,0.6573418947728086,49,65,1970,12,Male,840 Elm Avenue,33.89,-98.51,13705.0,27943.0,18693.0,681,4,0.6689689725512651
4,49883.54,39.84308306709265,1252,1006,47,199,15027.510000000002,30771.41,45340.0,5009.170000000001,5128.568333333334,5037.777777777777,5434.8,4357.74,6406.5,4357.74,6406.5,4340.85,1.8706009776560324,4.878048966851767,7.6609856407964125,572.9343687543972,745.7576302906102,699.7727389799093,106,48,"['Eating Places and Restaurants', 'Drinking Places (Alcoholic Beverages)', 'Fast Food Restaurants', 'Money Transfer', 'Insurance Sales, Underwriting']",20963.549160671464,0.30125187586927477,0.6168650019625712,0.9089170495919094,0.8035143769968051,0.037539936102236424,0.15894568690095848,-716.3899999999958,16202.82,-0.045502702634035774,1.1121748913244178,0.4883594869393376,0.6786812968681076,54,72,1965,3,Female,6016 Little Creek Boulevard,47.61,-122.3,37485.0,76431.0,115362.0,716,5,1.5093613847784275
5,22302.32,59.00084656084656,378,163,38,177,6188.629999999999,12944.13,19548.51,2062.8766666666666,2157.355,2172.0566666666664,2344.44,1682.67,3174.34,1682.67,3174.34,1682.67,2.6778631579572933,6.692613524933587,10.61755424414769,341.73493183070076,559.5902022641212,531.5504656897592,75,42,"['Utilities - Electric, Gas, Water, Sanitary', 'Telecommunication Services', 'Money Transfer', 'Automotive Service Shops', 'Dentists and Orthodontists']",69502.9177718833,0.2774881716341618,0.5803938783050373,0.876523608306221,0.4312169312169312,0.10052910052910052,0.46825396825396826,-566.8700000000008,6339.75,-0.08391236770039234,0.9599311366093413,0.47810320199194534,0.6621543022972084,65,65,1955,2,Male,1032 Second Lane,42.95,-77.13,19095.0,20614.0,14042.0,711,2,0.6811875424468807
11,47854.73,56.90217598097503,841,744,36,61,13509.760000000002,30067.57,42932.23,4503.253333333334,5011.261666666666,4770.2477777777785,4960.1,4173.32,6322.78,3979.66,6322.78,2998.36,1.723687022439064,5.0618878651640085,7.6555170258664145,408.45555172298964,1043.0701949613303,1061.6972550564708,105,47,"['Eating Places and Restaurants', 'Fast Food Restaurants', 'Grocery Stores, Supermarkets', 'Athletic Fields, Commercial Sports', 'Wholesale Clubs']",31186.928571428572,0.2823077259029567,0.6283092601295629,0.8971366048873329,0.8846611177170036,0.04280618311533888,0.07253269916765755,-3048.0499999999956,17202.909999999996,-0.18408533495673618,1.337222281817008,0.44931332994319134,0.700349597493538,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,33175.0,67643.0,0.0,714,6,0.0
13,21219.92,34.67307189542483,612,504,47,61,7324.96,13548.52,20308.449999999997,2441.653333333333,2258.0866666666666,2256.494444444444,3188.33,1676.77,3188.33,1534.32,3281.56,1298.04,1.297428434321416,3.249409565509217,5.369619832326013,755.9444559181137,615.2552555701305,695.3331662252116,90,42,"['Telecommunication Services', 'Drug Stores and Pharmacies', 'Drinking Places (Alcoholic Beverages)', 'Wholesale Clubs', 'Department Stores']",42759.96726677578,0.34519263032094377,0.6384812006831317,0.9570464921639666,0.8235294117647058,0.07679738562091504,0.09967320261437909,1101.3999999999996,6788.590000000004,0.17697266516270416,1.0042396888725191,0.540646506039036,0.6671370784082489,52,61,1967,6,Female,4222 Ocean View Drive,37.89,-85.96,15879.0,32378.0,65919.0,588,4,2.0359194514793995
14,18401.5,38.82172995780591,474,192,37,245,6126.459999999999,11332.98,15815.31,2042.153333333333,1888.83,1757.2566666666667,2361.22,1612.3799999999999,2361.22,1612.3799999999999,2361.22,1216.4,1.594616342399268,3.7996290053446953,5.697940047941319,386.5000788270722,301.04137596018245,354.16876965650147,62,36,"['Utilities - Electric, Gas, Water, Sanitary', 'Telecommunication Services', 'Insurance Sales, Underwriting', 'Wholesale Clubs', 'Drug Stores and Pharmacies']",55428.07610993658,0.33293264136075856,0.6158726190799663,0.8594576529087302,0.4050632911392405,0.07805907172995781,0.5168776371308017,919.9399999999987,6850.65,0.17668999638914262,1.5283680585766777,0.5405868535901412,0.7165828554735886,79,57,1940,12,Female,2487 Martin Luther King Drive,21.39,-158.01,21314.0,32232.0,21134.0,652,5,0.6556837925043435
16,32341.57,56.64022767075306,571,362,126,83,9619.58,20571.5,28560.22,3206.5266666666666,3428.5833333333335,3173.3577777777778,3915.98,2757.72,4016.82,2757.72,4016.82,2237.9,2.4882366592692517,6.459604310807479,9.356461134560435,621.5658215614276,536.6919282294704,614.2128123414916,110,50,"['Theatrical Producers', 'Utilities - Electric, Gas, Water, Sanitary', 'Telecommunication Services', 'Taxicabs and Limousines', 'Automotive Service Shops']",45886.52631578947,0.29743701372567877,0.6360699248675931,0.8830808151861521,0.6339754816112084,0.22066549912434325,0.14535901926444833,-1332.3400000000001,12582.779999999999,-0.12165355481048068,1.5750683463683792,0.4676168485526092,0.7202850678321105,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,15451.0,22158.0,19101.0,681,5,0.8620362848632548
17,65271.32,42.8289501312336,1524,1329,52,143,19702.18,39334.3,58273.94,6567.393333333333,6555.716666666667,6474.8822222222225,7267.87,5404.0,7267.87,5404.0,7267.87,5404.0,1.802462480317369,4.594959539479768,7.288957385947421,1014.5056552002718,666.834884740343,667.6190726150985,83,39,"['Grocery Stores, Supermarkets', 'Drug Stores and Pharmacies', 'Wholesale Clubs', 'Service Stations', 'Eating Places and Restaurants']",17190.019697964544,0.3018504911498649,0.6026276165396992,0.8927954881255658,0.8720472440944882,0.03412073490813648,0.09383202099737532,70.05999999999767,20394.660000000003,0.0035686415934701454,1.07682405790184,0.5008905713334163,0.6749895407792917,76,65,1943,7,Male,2012 Forest Avenue,35.73,-81.32,17850.0,21867.0,21103.0,759,2,0.9650615082087163
19,4620.5,17.112962962962964,270,257,7,6,1364.27,2864.17,3982.1,454.75666666666666,477.3616666666667,442.4555555555555,526.27,386.05,594.88,375.68,594.88,288.25,1.5923385334524105,4.4423964884944995,6.566648298401961,70.15212137443405,87.43805290985536,97.62031257775082,46,23,"['Drug Stores and Pharmacies', 'Grocery Stores, Supermarkets', 'Drinking Places (Alcoholic Beverages)', 'Motion Picture Theaters', 'Service Stations']",97029.36802973978,0.2952645817552213,0.619883129531436,0.8618331349421058,0.9518518518518518,0.025925925925925925,0.022222222222222223,-135.6300000000001,1746.2400000000002,-0.09042602840189351,1.5620298229763945,0.4763229836217822,0.719261193842445,82,68,1937,5,Female,6577 Catherine Lane,34.41,-119.7,23071.0,34903.0,1336.0,630,1,0.03827751196172249
